ym,ccode,gen_share,load_share
2017-12-01,AT,0.0941,0.078375
2017-12-01,BE,0.0242,0.02669999999999999
2017-12-01,BG,0.008400000000000001,0.00945
2017-12-01,CZ,0.0134,0.0138
2017-12-01,DE,0.067425,0.08545
2017-12-01,DK,0.0837,0.0918
2017-12-01,EE,0.0169,0.018749999999999996
2017-12-01,ES,0.0559,0.06620000000000001
2017-12-01,FI,0.04135,0.032600000000000004
2017-12-01,FR,0.0315,0.0318
2017-12-01,GR,0.004,0.0028
2017-12-01,HR,NA,NA
2017-12-01,HU,0.007225,0.00575
2017-12-01,IT,0.0296,0.02
2017-12-01,LT,0.08610000000000001,NA
2017-12-01,LU,0.0933,0.029875
2017-12-01,LV,0.08565,0.08315
2017-12-01,NL,0.0154,0.0134
2017-12-01,NO,0.0972,0.0808
2017-12-01,PL,0.0304,0.02789999999999999
2017-12-01,RO,0.0334,0.03415
2017-12-01,SE,0.0427,0.04629999999999999
2017-12-01,SI,0.0177,0.0184
2017-12-01,SK,0.0176,0.02039999999999999
2018-01-01,AT,0.06884986559139784,0.06479260752688172
2018-01-01,BE,0.016508467741935484,0.015015860215053762
2018-01-01,BG,0.009750940860215053,0.010318951612903225
2018-01-01,CZ,0.010667069892473117,0.011746505376344085
2018-01-01,DE,0.040744354838709675,0.04557325268817204
2018-01-01,DK,0.059934946236559136,0.06394825268817204
2018-01-01,EE,0.013558064516129032,0.015817204301075267
2018-01-01,ES,0.04037150537634408,0.039161424731182795
2018-01-01,FI,0.03948454301075269,0.03035040322580645
2018-01-01,FR,0.019466532258064516,0.022713978494623654
2018-01-01,GR,0.017379435483870966,0.013249731182795698
2018-01-01,HR,NA,NA
2018-01-01,HU,0.005964280913978493,0.004165658602150537
2018-01-01,IE,NA,NA
2018-01-01,IT,0.02844825268817204,0.023668548387096772
2018-01-01,LT,NA,NA
2018-01-01,LU,0.06669922715053764,0.02299842069892473
2018-01-01,LV,0.06557043010752688,0.08559516129032257
2018-01-01,NL,0.007752284946236559,0.006523387096774193
2018-01-01,NO,0.0979353494623656,0.10479650537634409
2018-01-01,PL,0.014880645161290321,0.013451612903225805
2018-01-01,PT,0.04197647849462365,0.04393239247311828
2018-01-01,RO,NA,NA
2018-01-01,SE,0.05303709677419355,0.05801586021505376
2018-01-01,SI,0.030181586021505374,0.03177876344086021
2018-01-01,SK,NA,NA
2018-02-01,AT,0.05912905505952381,0.04983541666666667
2018-02-01,BE,0.01611458333333333,0.015186755952380952
2018-02-01,BG,0.01405267857142857,0.015574107142857141
2018-02-01,CZ,0.010687797619047618,0.01177127976190476
2018-02-01,DE,0.030857886904761902,0.03494479166666666
2018-02-01,DK,0.05366116071428571,0.06175014880952381
2018-02-01,EE,NA,NA
2018-02-01,ES,0.04039196428571428,0.03937380952380952
2018-02-01,FI,0.037969642857142855,0.029794196428571427
2018-02-01,FR,0.01866770833333333,0.01993779761904762
2018-02-01,GR,0.018495089285714285,0.013927083333333333
2018-02-01,HR,NA,NA
