Tipo de residuo;Tipo de tratamiento;Clase de peligrosidad;periodo;Total
TOTAL;Recuperación;NO PELIGROSO;2020;45.721.102
TOTAL;Recuperación;NO PELIGROSO;2019;47.572.837
TOTAL;Recuperación;NO PELIGROSO;2018;45.615.089
TOTAL;Recuperación;NO PELIGROSO;2017;43.334.676
TOTAL;Recuperación;NO PELIGROSO;2016;38.011.186
TOTAL;Recuperación;NO PELIGROSO;2015;39.737.089
TOTAL;Recuperación;NO PELIGROSO;2014;35.639.168
TOTAL;Recuperación;NO PELIGROSO;2013;34.717.148
TOTAL;Recuperación;NO PELIGROSO;2012;47.132.479
TOTAL;Recuperación;NO PELIGROSO;2011;51.518.017
TOTAL;Recuperación;NO PELIGROSO;2010;72.956.845
TOTAL;Recuperación;PELIGROSO;2020;1.555.968
TOTAL;Recuperación;PELIGROSO;2019;1.536.936
TOTAL;Recuperación;PELIGROSO;2018;1.629.968
TOTAL;Recuperación;PELIGROSO;2017;1.587.168
TOTAL;Recuperación;PELIGROSO;2016;1.570.262
TOTAL;Recuperación;PELIGROSO;2015;1.542.793
TOTAL;Recuperación;PELIGROSO;2014;1.658.969
TOTAL;Recuperación;PELIGROSO;2013;1.756.252
TOTAL;Recuperación;PELIGROSO;2012;1.612.927
TOTAL;Recuperación;PELIGROSO;2011;1.563.607
TOTAL;Recuperación;PELIGROSO;2010;1.618.549
TOTAL;Recuperación;TOTAL GENERAL;2020;47.277.070
TOTAL;Recuperación;TOTAL GENERAL;2019;49.109.773
TOTAL;Recuperación;TOTAL GENERAL;2018;47.245.057
TOTAL;Recuperación;TOTAL GENERAL;2017;44.921.844
TOTAL;Recuperación;TOTAL GENERAL;2016;39.581.448
TOTAL;Recuperación;TOTAL GENERAL;2015;41.279.882
TOTAL;Recuperación;TOTAL GENERAL;2014;37.298.137
TOTAL;Recuperación;TOTAL GENERAL;2013;36.473.400
TOTAL;Recuperación;TOTAL GENERAL;2012;48.745.405
TOTAL;Recuperación;TOTAL GENERAL;2011;53.081.624
TOTAL;Recuperación;TOTAL GENERAL;2010;74.575.394
TOTAL;Operaciones de relleno;NO PELIGROSO;2020;4.438.233
TOTAL;Operaciones de relleno;NO PELIGROSO;2019;14.546.988
TOTAL;Operaciones de relleno;NO PELIGROSO;2018;12.180.380
TOTAL;Operaciones de relleno;NO PELIGROSO;2017;4.270.531
TOTAL;Operaciones de relleno;NO PELIGROSO;2016;6.040.616
TOTAL;Operaciones de relleno;NO PELIGROSO;2015;9.269.249
TOTAL;Operaciones de relleno;NO PELIGROSO;2014;13.021.319
TOTAL;Operaciones de relleno;NO PELIGROSO;2013;11.035.609
TOTAL;Operaciones de relleno;NO PELIGROSO;2012;8.193.793
TOTAL;Operaciones de relleno;NO PELIGROSO;2011;6.665.117
TOTAL;Operaciones de relleno;NO PELIGROSO;2010;5.713.515
TOTAL;Operaciones de relleno;PELIGROSO;2020;0
TOTAL;Operaciones de relleno;PELIGROSO;2019;0
TOTAL;Operaciones de relleno;PELIGROSO;2018;0
TOTAL;Operaciones de relleno;PELIGROSO;2017;0
TOTAL;Operaciones de relleno;PELIGROSO;2016;0
TOTAL;Operaciones de relleno;PELIGROSO;2015;0
TOTAL;Operaciones de relleno;PELIGROSO;2014;0
TOTAL;Operaciones de relleno;PELIGROSO;2013;0
TOTAL;Operaciones de relleno;PELIGROSO;2012;0
TOTAL;Operaciones de relleno;PELIGROSO;2011;0
TOTAL;Operaciones de relleno;PELIGROSO;2010;0
TOTAL;Operaciones de relleno;TOTAL GENERAL;2020;4.438.233
TOTAL;Operaciones de relleno;TOTAL GENERAL;2019;14.546.988
TOTAL;Operaciones de relleno;TOTAL GENERAL;2018;12.180.380
TOTAL;Operaciones de relleno;TOTAL GENERAL;2017;4.270.531
TOTAL;Operaciones de relleno;TOTAL GENERAL;2016;6.040.616
TOTAL;Operaciones de relleno;TOTAL GENERAL;2015;9.269.249
TOTAL;Operaciones de relleno;TOTAL GENERAL;2014;13.021.319
TOTAL;Operaciones de relleno;TOTAL GENERAL;2013;11.035.609
TOTAL;Operaciones de relleno;TOTAL GENERAL;2012;8.193.793
TOTAL;Operaciones de relleno;TOTAL GENERAL;2011;6.665.117
TOTAL;Operaciones de relleno;TOTAL GENERAL;2010;5.713.515
TOTAL;Vertido;NO PELIGROSO;2020;30.657.614
TOTAL;Vertido;NO PELIGROSO;2019;47.789.918
TOTAL;Vertido;NO PELIGROSO;2018;58.291.443
TOTAL;Vertido;NO PELIGROSO;2017;61.668.553
TOTAL;Vertido;NO PELIGROSO;2016;56.851.524
TOTAL;Vertido;NO PELIGROSO;2015;53.004.306
TOTAL;Vertido;NO PELIGROSO;2014;49.009.447
TOTAL;Vertido;NO PELIGROSO;2013;45.712.122
TOTAL;Vertido;NO PELIGROSO;2012;47.615.640
TOTAL;Vertido;NO PELIGROSO;2011;48.630.073
TOTAL;Vertido;NO PELIGROSO;2010;48.562.750
TOTAL;Vertido;PELIGROSO;2020;490.289
TOTAL;Vertido;PELIGROSO;2019;501.554
TOTAL;Vertido;PELIGROSO;2018;519.998
TOTAL;Vertido;PELIGROSO;2017;558.140
TOTAL;Vertido;PELIGROSO;2016;399.027
TOTAL;Vertido;PELIGROSO;2015;567.089
TOTAL;Vertido;PELIGROSO;2014;524.826
TOTAL;Vertido;PELIGROSO;2013;511.999
TOTAL;Vertido;PELIGROSO;2012;643.688
TOTAL;Vertido;PELIGROSO;2011;1.013.195
TOTAL;Vertido;PELIGROSO;2010;901.543
TOTAL;Vertido;TOTAL GENERAL;2020;31.147.903
TOTAL;Vertido;TOTAL GENERAL;2019;48.291.472
TOTAL;Vertido;TOTAL GENERAL;2018;58.811.441
TOTAL;Vertido;TOTAL GENERAL;2017;62.226.693
TOTAL;Vertido;TOTAL GENERAL;2016;57.250.551
TOTAL;Vertido;TOTAL GENERAL;2015;53.571.395
TOTAL;Vertido;TOTAL GENERAL;2014;49.534.273
TOTAL;Vertido;TOTAL GENERAL;2013;46.224.121
TOTAL;Vertido;TOTAL GENERAL;2012;48.259.328
TOTAL;Vertido;TOTAL GENERAL;2011;49.643.268
TOTAL;Vertido;TOTAL GENERAL;2010;49.464.293
TOTAL;Incineración;NO PELIGROSO;2020;3.413.395
TOTAL;Incineración;NO PELIGROSO;2019;3.766.975
TOTAL;Incineración;NO PELIGROSO;2018;3.560.870
TOTAL;Incineración;NO PELIGROSO;2017;3.930.714
TOTAL;Incineración;NO PELIGROSO;2016;3.693.473
TOTAL;Incineración;NO PELIGROSO;2015;3.488.099
